ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
Dcaf17,-0.475756907,9.124041973,,0.038480349,0.605852346,
Oxa1l,-0.475521487,9.123516028,,0.038480349,0.605852346,
Uvssa,-0.475426744,9.123835453,,0.038480349,0.605852346,
Pla2g7,-0.715010087,9.229957821,,0.000597449,0.132255366,
Mcur1,-0.4745542,9.117101222,,0.039126432,0.612986059,
Fam76a,-0.474180027,9.129647809,,0.037772545,0.604060765,
Golga1,-0.473422153,9.135944095,,0.037016093,0.600172138,
Mrpl52,-0.473392427,9.620008496,,0.002944105,0.268215511,
Pim3,-0.473027477,9.129343082,,0.037772545,0.604060765,
Efcab14,-0.472435396,9.141705451,,0.036222048,0.594324253,
Diablo,-0.470918558,9.321109254,,0.011888568,0.463202885,
Tada3,-0.470856485,9.159984367,,0.033700865,0.587917385,
Zmym5,-0.470691735,9.160069925,,0.033700865,0.587917385,
Taf9b,-0.469520744,9.314866467,,0.012289918,0.466185874,
Serp2,-0.469010885,9.177663609,,0.031102463,0.570516335,
Cops4,-0.468827143,9.341898017,,0.010400302,0.445062859,
D130017N08Rik,0.723790572,9.021275456,,0.000620393,0.132255366,
Mettl23,-0.466791255,9.201528097,,0.027703687,0.570516335,
Sema4c,-0.466443697,9.00591583,,0.011768544,0.463202885,
Trp53inp1,0.726913182,9.021420925,,0.000620393,0.132255366,
Sparcl1,-0.610098638,9.729580265,,0.000651363,0.135475629,
Zbtb48,-0.46568456,9.005871347,,0.011768543,0.463202885,
Zbtb8a,-0.46478779,9.012568888,,0.020916661,0.530834982,
Ankrd6,-0.464643991,9.02577835,,0.035258989,0.593721269,
Gm6133,-0.464462766,9.224477715,,0.024506166,0.558519709,
Tspan15,0.752843676,9.127702585,,0.000660919,0.135475629,
Myrf,-0.463970348,9.019145736,,0.028821625,0.570516335,
Arhgap10,-0.463862152,9.00570633,,0.011768543,0.463202885,
Gm26518,-0.46378146,9.012496718,,0.020916661,0.530834982,
Macrod1,-0.463368566,9.00566594,,0.011768543,0.463202885,
Fam175a,-0.463122731,9.012435782,,0.020916661,0.530834982,
Kctd1,-0.463103405,9.019165716,,0.028821624,0.570516335,
Tada2b,-0.463090343,9.01243225,,0.020916661,0.530834982,
G0s2,-0.462828116,9.604452284,,0.004544079,0.318848845,
Brca1,-0.462491926,9.012376083,,0.02091666,0.530834982,
Inpp5k,-0.462448252,9.019034351,,0.028821625,0.570516335,
Fbrs,-0.462156972,9.025838019,,0.035258987,0.593721269,
Zbtb22,-0.461984416,9.019087913,,0.028821624,0.570516335,
Ap4m1,-0.461927181,9.032478636,,0.040331553,0.615205426,
AI849053,-0.461801615,9.032439047,,0.040331553,0.615205426,
Dmwd,-0.46160421,9.039037659,,0.044230169,0.620801322,
Trappc10,-0.461530662,9.025786423,,0.035258987,0.593721269,
Zfp94,-0.461364702,9.025746197,,0.035258987,0.593721269,
Map4k3,-0.461352596,9.02573889,,0.035258987,0.593721269,
Fam131a,-0.461060682,9.025468506,,0.035258988,0.593721269,
Dap,-0.460790717,9.052041679,,0.049267645,0.620801322,
Cdkl3,-0.460780664,9.025712466,,0.035258987,0.593721269,
Tmem87a,-0.460778628,9.018940339,,0.028821624,0.570516335,
Gpr146,-0.460734044,9.018949476,,0.028821624,0.570516335,
Tet2,-0.460460297,9.032336018,,0.040331552,0.615205426,
Xpo1,0.767275053,9.084032292,,0.000777095,0.156283975,
Edc3,-0.460273486,9.045625601,,0.047150665,0.620801322,
Stard3nl,-0.460117779,9.329710117,,0.013071204,0.471644056,
Nek9,-0.459840227,9.038428217,,0.04423017,0.620801322,
Ftsj3,-0.459596832,9.038920389,,0.044230168,0.620801322,
Zswim8,-0.45952986,9.051867986,,0.049267644,0.620801322,
Zfp688,-0.459361809,9.052027688,,0.049267644,0.620801322,
Afap1,-0.459266269,9.051729321,,0.049267644,0.620801322,
Stxbp4,-0.459247341,9.051847348,,0.049267644,0.620801322,
Fam168b,-0.459139906,9.052000679,,0.049267644,0.620801322,
Tmem120a,-0.457988985,9.051831608,,0.049267644,0.620801322,
Tm2d1,-0.457578777,9.468023921,,0.00614958,0.348661546,
Gsn,-0.456735431,9.696516061,,0.009253711,0.430835497,
Polr3k,-0.454653301,9.121149135,,0.047763371,0.620801322,
Zc3h7a,-0.453716263,9.133594437,,0.045625606,0.620801322,
Rbm28,-0.453393476,9.139761752,,0.044507497,0.620801322,
Hddc2,-0.453329272,9.139568624,,0.044507497,0.620801322,
Vps53,-0.453301697,9.152010221,,0.042223039,0.620208863,
Pop7,-0.452982316,9.16980997,,0.038780676,0.608782363,
Nceh1,-0.452977813,9.234245261,,0.027402942,0.570516335,
Chst5,-0.452912311,9.140003062,,0.044507496,0.620801322,
Gas2,-0.452879291,9.158212397,,0.041071902,0.615205426,
Dll3,-0.452250692,9.205490521,,0.032247506,0.571632989,
Psma5,-0.450588861,9.27325797,,0.02164827,0.542525343,
Smarce1,-0.450328269,9.23903448,,0.026507664,0.570516335,
Arpc4,-0.449705335,9.251005298,,0.024791199,0.561039048,
Nmt1,-0.448640062,9.327792415,,0.015514386,0.48938812,
Srsf6,-0.448063454,9.405337568,,0.011014418,0.455049155,
Ifi27,-0.445612184,9.660239134,,0.010420487,0.445062859,
Actr2,-0.438004777,9.271534218,,0.025522749,0.569135951,
Glyr1,-0.43764291,9.249403339,,0.029342609,0.570516335,
